representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_last,10,hour,shuffled_labels,480,-0.3341790540631586,92.89837454923739,0.08333333333333333
hidden_last,11,hour,shuffled_labels,480,-0.3441678780013323,93.79141868496663,0.09166666666666666
hidden_last,12,hour,shuffled_labels,480,-0.36626916202006665,94.77842673063279,0.09583333333333334
hidden_last,13,hour,shuffled_labels,480,-0.3410837379225674,94.84164548671494,0.1
hidden_last,14,hour,shuffled_labels,480,-0.3295027878961968,93.84363162374744,0.09583333333333334
hidden_last,15,hour,shuffled_labels,480,-0.33108196229890385,93.85813534688205,0.1
hidden_last,16,hour,shuffled_labels,480,-0.31610154919657973,90.83454556002592,0.09583333333333334
hidden_last,17,hour,shuffled_labels,480,-0.32534927771577327,92.5108142827948,0.08958333333333333
hidden_last,18,hour,shuffled_labels,480,-0.3255383894502941,93.18996088770218,0.09375
hidden_last,19,hour,shuffled_labels,480,-0.264209158016107,89.1474067683642,0.10625
hidden_last,20,hour,shuffled_labels,480,-0.264226393435099,90.01089879659315,0.09583333333333334
hidden_last,21,hour,shuffled_labels,480,-0.3135206590501398,91.81703264635676,0.08333333333333333
hidden_last,22,hour,shuffled_labels,480,-0.32090668349421947,90.23829464217027,0.08541666666666667
hidden_last,23,hour,shuffled_labels,480,-0.26810199600136864,89.11990325078368,0.10208333333333333
hidden_last,24,hour,shuffled_labels,480,-0.2758692990450752,90.33676192307225,0.09583333333333334
hidden_last,25,hour,shuffled_labels,480,-0.2738349940879051,90.43280862867832,0.09166666666666666
hidden_last,26,hour,shuffled_labels,480,-0.27132248731632636,89.66913562764724,0.09791666666666667
hidden_last,27,hour,shuffled_labels,480,-0.29785185616270937,93.25555291165462,0.10208333333333333
hidden_last,28,hour,shuffled_labels,480,-0.28067074760161004,93.76527726074565,0.09791666666666667
hidden_last,29,hour,shuffled_labels,480,-0.21460055579867,88.25220575903853,0.09583333333333334
hidden_last,30,hour,shuffled_labels,480,-0.24755781762209395,89.27934347749688,0.11666666666666667
hidden_last,31,hour,shuffled_labels,480,-0.2609993999044349,89.37763088497644,0.09791666666666667
hidden_last,32,hour,shuffled_labels,480,-0.2608435242932514,91.0436268588528,0.09375
hidden_last,33,hour,shuffled_labels,480,-0.2615786168718638,90.99907923688491,0.10416666666666667
hidden_last,34,hour,shuffled_labels,480,-0.23444822100237184,91.25255590130885,0.10625
hidden_last,35,hour,shuffled_labels,480,-0.2493138142356245,91.71403524992056,0.1125
hidden_last,36,hour,shuffled_labels,480,-0.24642648912018184,91.0017957676823,0.1125
hidden_meanpool,0,minute,shuffled_labels,480,-0.2509691103410727,87.61323096654378,0.0875
hidden_meanpool,1,minute,shuffled_labels,480,-0.23009220010444664,86.91283758797994,0.07708333333333334
hidden_meanpool,2,minute,shuffled_labels,480,-0.2306473144829384,86.59546139395485,0.07291666666666667
hidden_meanpool,3,minute,shuffled_labels,480,-0.23288547369445023,86.74270986442765,0.07708333333333334
hidden_meanpool,4,minute,shuffled_labels,480,-0.22534268099351784,86.26067409285655,0.08333333333333333
hidden_meanpool,5,minute,shuffled_labels,480,-0.23989261348525026,87.25518471640535,0.075
hidden_meanpool,6,minute,shuffled_labels,480,-0.23946735487931692,86.80537935082491,0.07916666666666666
hidden_meanpool,7,minute,shuffled_labels,480,-0.21852498767457684,86.96907737550015,0.075
hidden_meanpool,8,minute,shuffled_labels,480,-0.2091298129669371,86.00331600469848,0.08958333333333333
