representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_last,30,hour,wrong,346,0.8072783870288619,15.777533875724483,0.8526011560693642
hidden_last,31,hour,all,480,0.8183435860300909,15.26349856108427,0.8645833333333334
hidden_last,31,hour,correct,134,0.8378299403338504,14.182850175829076,0.9029850746268657
hidden_last,31,hour,wrong,346,0.8067634591267847,15.682015565778478,0.8497109826589595
hidden_last,32,hour,all,480,0.8264902252008842,14.888441427548726,0.8416666666666667
hidden_last,32,hour,correct,134,0.8611699549268854,12.344265065086422,0.9104477611940298
hidden_last,32,hour,wrong,346,0.8082137215897824,15.873758284687307,0.815028901734104
hidden_last,33,hour,all,480,0.8289960555189668,15.29794378268222,0.8395833333333333
hidden_last,33,hour,correct,134,0.8459317005133583,13.929742172582827,0.9029850746268657
hidden_last,33,hour,wrong,346,0.817562994535995,15.827825331102217,0.815028901734104
hidden_last,34,hour,all,480,0.8208656549761987,15.624171420404066,0.83125
hidden_last,34,hour,correct,134,0.8381268747131411,14.480498732581957,0.9029850746268657
hidden_last,34,hour,wrong,346,0.8074989432535717,16.067096681005694,0.8034682080924855
hidden_last,35,hour,all,480,0.8336750420109467,14.797961138344059,0.825
hidden_last,35,hour,correct,134,0.8428719749726674,13.691785616661186,0.8805970149253731
hidden_last,35,hour,wrong,346,0.824477999817168,15.226364375065172,0.8034682080924855
hidden_last,36,hour,all,480,0.8283414494453739,15.26797437070248,0.8416666666666667
hidden_last,36,hour,correct,134,0.8452355351876581,13.704692134216652,0.8805970149253731
hidden_last,36,hour,wrong,346,0.8164191667526934,15.873407375584275,0.8265895953757225
hidden_meanpool,0,minute,all,480,0.9602858333881927,6.2588079534471035,0.9645833333333333
hidden_meanpool,0,minute,correct,12,-3.141075378572646e+30,6.205741186936696,1.0
hidden_meanpool,0,minute,wrong,468,0.9604630210808447,6.260168639767883,0.9636752136752137
hidden_meanpool,1,minute,all,480,0.9600360982154079,6.207429266441613,0.9645833333333333
hidden_meanpool,1,minute,correct,12,-2.6757243748414426e+30,5.668916100015243,1.0
hidden_meanpool,1,minute,wrong,468,0.9600897343853703,6.221237296349982,0.9636752136752137
hidden_meanpool,2,minute,all,480,0.96105082451695,6.1068720774104195,0.9625
hidden_meanpool,2,minute,correct,12,-2.1761771470617287e+30,5.0734063138564425,1.0
hidden_meanpool,2,minute,wrong,468,0.9610404590131365,6.13337119955283,0.9615384615384616
hidden_meanpool,3,minute,all,480,0.9607768953961577,6.0363595593255015,0.9625
hidden_meanpool,3,minute,correct,12,-2.4819617035431794e+30,5.2910753563046455,1.0
hidden_meanpool,3,minute,wrong,468,0.9608648887895492,6.055469410685011,0.9615384615384616
hidden_meanpool,4,minute,all,480,0.9620293695218474,5.919555248816808,0.9604166666666667
hidden_meanpool,4,minute,correct,12,-2.216897402018053e+30,5.1135218143463135,1.0
hidden_meanpool,4,minute,wrong,468,0.9620803383603048,5.94022277277759,0.9594017094017094
hidden_meanpool,5,minute,all,480,0.9619924365729947,5.866161738956968,0.9625
hidden_meanpool,5,minute,correct,12,-2.07296286664327e+30,5.31793786585331,1.0
hidden_meanpool,5,minute,wrong,468,0.9620756648419505,5.880218761344241,0.9615384615384616
hidden_meanpool,6,minute,all,480,0.9641597853677426,5.628068204130978,0.9645833333333333
hidden_meanpool,6,minute,correct,12,-1.510274759959585e+30,4.745721583565076,1.0
hidden_meanpool,6,minute,wrong,468,0.9641488067490123,5.65069247645318,0.9636752136752137
hidden_meanpool,7,minute,all,480,0.964009063542816,5.717878694273531,0.9645833333333333
hidden_meanpool,7,minute,correct,12,-1.8943228925725173e+30,4.882696757713954,1.0
hidden_meanpool,7,minute,wrong,468,0.9640107149576796,5.739293615723776,0.9636752136752137
hidden_meanpool,8,minute,all,480,0.9652028527657197,5.586177547291541,0.96875
hidden_meanpool,8,minute,correct,12,-1.963816900781173e+30,4.646708181127906,1.0
hidden_meanpool,8,minute,wrong,468,0.965222213004288,5.610266505398301,0.967948717948718
